;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;6;6;135.357155
1;2;Champagne;2;2;392.14285
2;3;Picardie;0;0;
3;4;Haute-Normandie;0;0;
4;5;Centre;4;4;310.714275
5;6;Basse-Normandie;2;2;214.2857
6;7;Bourgogne;2;2;188.571445
7;8;Nord;6;6;145.000004667
8;9;Lorraine;2;2;311.7857
9;10;Alsace;2;2;302.14285
10;11;Franche Comté;7;7;168.367341429
11;12;Pays de la Loire;1;1;360.0
12;13;Bretagne;1;1;120.0
13;14;Poitou Charentes;5;5;318.428574
14;15;Aquitaine;1;1;454.2857
15;16;Midi-Pyrénées;3;3;307.142866667
16;17;limousin;0;0;
17;18;Rhône-Alpes;2;2;252.85715
18;19;Auvergne;1;1;270.0
19;20;Languedoc;4;4;273.2142975
20;21;Provence Côte d'Azur;4;4;187.85715
