;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;14;14;35.4166666667
1;2;Champagne;3;3;30.0
2;3;Picardie;7;7;42.4285714286
3;4;Haute-Normandie;5;5;37.5
4;5;Centre;6;6;39.1666666667
5;6;Basse-Normandie;2;2;30.0
6;7;Bourgogne;0;0;
7;8;Nord;10;10;30.0
8;9;Lorraine;8;8;49.375
9;10;Alsace;2;2;37.5
10;11;Franche Comté;10;10;29.5
11;12;Pays de la Loire;4;4;36.25
12;13;Bretagne;7;7;63.5714285714
13;14;Poitou Charentes;9;9;31.3333333333
14;15;Aquitaine;8;8;35.625
15;16;Midi-Pyrénées;5;5;38.75
16;17;limousin;1;1;30.0
17;18;Rhône-Alpes;16;16;43.125
18;19;Auvergne;8;8;41.875
19;20;Languedoc;10;10;27.7
20;21;Provence Côte d'Azur;6;6;27.0
