;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;14;14;37.9230769231
1;2;Champagne;3;3;25.0
2;3;Picardie;7;7;35.3333333333
3;4;Haute-Normandie;5;5;37.5
4;5;Centre;6;6;35.8333333333
5;6;Basse-Normandie;2;2;30.0
6;7;Bourgogne;0;0;
7;8;Nord;10;10;25.625
8;9;Lorraine;8;8;37.8571428571
9;10;Alsace;2;2;85.0
10;11;Franche Comté;10;10;28.8888888889
11;12;Pays de la Loire;4;4;31.25
12;13;Bretagne;7;7;56.4285714286
13;14;Poitou Charentes;9;9;38.125
14;15;Aquitaine;8;8;30.0
15;16;Midi-Pyrénées;5;5;34.0
16;17;limousin;1;1;45.0
17;18;Rhône-Alpes;16;16;29.2666666667
18;19;Auvergne;8;8;43.75
19;20;Languedoc;10;10;26.7
20;21;Provence Côte d'Azur;6;6;36.0
